Date,City,ShelterType,Capacity,Overnight
4/1/2013,Calgary,Adult Emergency,725,700
4/1/2013,Calgary,Adult Emergency,125,117
4/1/2013,Calgary,Adult Emergency,23,12
4/1/2013,Calgary,Adult Emergency,159,159
4/1/2013,Calgary,Adult Emergency,370,300
4/1/2013,Calgary,Women Emergency,6,6
4/1/2013,Calgary,Family Emergency,120,84
4/1/2013,Calgary,Family Emergency,60,59
4/2/2013,Calgary,Adult Emergency,725,700
4/2/2013,Calgary,Adult Emergency,125,125
4/2/2013,Calgary,Adult Emergency,23,12
4/2/2013,Calgary,Adult Emergency,159,159
4/2/2013,Calgary,Adult Emergency,370,300
4/2/2013,Calgary,Women Emergency,6,6
4/2/2013,Calgary,Family Emergency,120,72
4/2/2013,Calgary,Family Emergency,60,59
4/3/2013,Calgary,Adult Emergency,725,700
4/3/2013,Calgary,Adult Emergency,125,125
4/3/2013,Calgary,Adult Emergency,23,11
4/3/2013,Calgary,Adult Emergency,159,159
4/3/2013,Calgary,Adult Emergency,370,300
4/3/2013,Calgary,Women Emergency,6,6
4/3/2013,Calgary,Family Emergency,120,84
4/3/2013,Calgary,Family Emergency,60,53
4/4/2013,Calgary,Adult Emergency,725,700
4/4/2013,Calgary,Adult Emergency,125,125
4/4/2013,Calgary,Adult Emergency,23,11
4/4/2013,Calgary,Adult Emergency,159,159
4/4/2013,Calgary,Adult Emergency,370,300
4/4/2013,Calgary,Women Emergency,6,6
4/4/2013,Calgary,Family Emergency,120,79
4/4/2013,Calgary,Family Emergency,60,57
4/5/2013,Calgary,Adult Emergency,725,700
4/5/2013,Calgary,Adult Emergency,125,117
4/5/2013,Calgary,Adult Emergency,23,12
4/5/2013,Calgary,Adult Emergency,159,159
4/5/2013,Calgary,Adult Emergency,370,300
4/5/2013,Calgary,Women Emergency,6,6
4/5/2013,Calgary,Family Emergency,120,86
4/5/2013,Calgary,Family Emergency,60,57
4/6/2013,Calgary,Adult Emergency,725,700
4/6/2013,Calgary,Adult Emergency,125,125
4/6/2013,Calgary,Adult Emergency,23,11
4/6/2013,Calgary,Adult Emergency,159,159
4/6/2013,Calgary,Adult Emergency,370,300
4/6/2013,Calgary,Women Emergency,6,6
4/6/2013,Calgary,Family Emergency,120,70
4/6/2013,Calgary,Family Emergency,60,59
4/7/2013,Calgary,Adult Emergency,725,700
4/7/2013,Calgary,Adult Emergency,125,126
4/7/2013,Calgary,Adult Emergency,23,10
4/7/2013,Calgary,Adult Emergency,159,159
4/7/2013,Calgary,Adult Emergency,370,300
4/7/2013,Calgary,Women Emergency,6,6
4/7/2013,Calgary,Family Emergency,120,97
4/7/2013,Calgary,Family Emergency,60,57
