Station_Name,Date,Air_Temp_Min,Air_Temp_Min_Source_Flag,Air_Temp_Max,Air_Temp_Max_Source_Flag,Air_Temp_Avg ,Air_Temp_Avg_Source_Flag,Wind_Speed_10m_Avg_(km/h),Wind_Speed_10m_Avg_Source_Flag,Wind_Dir_10m_Avg ,Wind_Dir_10m_Avg_Source_Flag,Heating_Degree_Days_(DD),Heating_Degree_Days_Source_Flag,Cooling_Degree_Days_(DD),Cooling_Degree_Days_Source_Flag
Calgary Intl A,01-Apr-13,-3.8,COMPUTED,8.9,COMPUTED,2.3,AGGREGATED,,UNAVAILBLE,,UNAVAILBLE,17.1,COMPUTED,0,COMPUTED
Calgary Intl A,02-Apr-13,-1.6,COMPUTED,16.8,COMPUTED,7.5,AGGREGATED,,UNAVAILBLE,,UNAVAILBLE,17.4,COMPUTED,0,COMPUTED
Calgary Intl A,03-Apr-13,-1.2,COMPUTED,6.7,COMPUTED,1.1,AGGREGATED,,UNAVAILBLE,,UNAVAILBLE,17.4,COMPUTED,0,COMPUTED
Calgary Intl A,04-Apr-13,-2.7,COMPUTED,4.7,COMPUTED,0.8,AGGREGATED,,UNAVAILBLE,,UNAVAILBLE,17.1,COMPUTED,0,COMPUTED
Calgary Intl A,05-Apr-13,-3,COMPUTED,4.7,COMPUTED,1,AGGREGATED,,UNAVAILBLE,,UNAVAILBLE,17,COMPUTED,0,COMPUTED
Calgary Intl A,06-Apr-13,-3.9,COMPUTED,-1.9,COMPUTED,-2.9,AGGREGATED,,UNAVAILBLE,,UNAVAILBLE,16.2,COMPUTED,0,COMPUTED
Calgary Intl A,07-Apr-13,-7.2,COMPUTED,-2.6,COMPUTED,-4.6,AGGREGATED,,UNAVAILBLE,,UNAVAILBLE,15.8,COMPUTED,0,COMPUTED
Calgary Intl A,08-Apr-13,-10.4,COMPUTED,-3.4,COMPUTED,-7.1,AGGREGATED,,UNAVAILBLE,,UNAVAILBLE,14.8,COMPUTED,0,COMPUTED
Calgary Intl A,09-Apr-13,-9.8,COMPUTED,5.1,COMPUTED,-2.4,AGGREGATED,,UNAVAILBLE,,UNAVAILBLE,15,COMPUTED,0,COMPUTED
Calgary Intl A,10-Apr-13,-2.3,COMPUTED,10.2,COMPUTED,2.8,AGGREGATED,,UNAVAILBLE,,UNAVAILBLE,15.2,COMPUTED,0,COMPUTED
Calgary Intl A,11-Apr-13,-1.4,COMPUTED,3.7,COMPUTED,1.1,AGGREGATED,,UNAVAILBLE,,UNAVAILBLE,14.5,COMPUTED,0,COMPUTED
Calgary Intl A,12-Apr-13,-6.2,COMPUTED,5,COMPUTED,0.6,AGGREGATED,,UNAVAILBLE,,UNAVAILBLE,14.5,COMPUTED,0,COMPUTED
Calgary Intl A,13-Apr-13,-4.2,COMPUTED,2.3,COMPUTED,-0.9,AGGREGATED,,UNAVAILBLE,,UNAVAILBLE,14.5,COMPUTED,0,COMPUTED
Calgary Intl A,14-Apr-13,-7.6,COMPUTED,-3.8,COMPUTED,-4.9,AGGREGATED,,UNAVAILBLE,,UNAVAILBLE,14.9,COMPUTED,0,COMPUTED
Calgary Intl A,15-Apr-13,-8.8,COMPUTED,-3,COMPUTED,-5.5,AGGREGATED,,UNAVAILBLE,,UNAVAILBLE,15.4,COMPUTED,0,COMPUTED
Calgary Intl A,16-Apr-13,-6.4,COMPUTED,0.4,COMPUTED,-2.8,AGGREGATED,,UNAVAILBLE,,UNAVAILBLE,14.1,COMPUTED,0,COMPUTED
Calgary Intl A,17-Apr-13,-9.6,COMPUTED,6.4,COMPUTED,-1.2,AGGREGATED,,UNAVAILBLE,,UNAVAILBLE,12.8,COMPUTED,0,COMPUTED
Calgary Intl A,18-Apr-13,-1.4,COMPUTED,8.9,COMPUTED,4.4,AGGREGATED,,UNAVAILBLE,,UNAVAILBLE,13.3,COMPUTED,0,COMPUTED
Calgary Intl A,19-Apr-13,-1.3,COMPUTED,10.7,COMPUTED,4.3,AGGREGATED,,UNAVAILBLE,,UNAVAILBLE,12.8,COMPUTED,0,COMPUTED
Calgary Intl A,20-Apr-13,-3.8,COMPUTED,2.5,COMPUTED,0.3,AGGREGATED,,UNAVAILBLE,,UNAVAILBLE,11.6,COMPUTED,0,COMPUTED
Calgary Intl A,21-Apr-13,-6.8,COMPUTED,-1.8,COMPUTED,-4.3,AGGREGATED,,UNAVAILBLE,,UNAVAILBLE,10.7,COMPUTED,0,COMPUTED
Calgary Intl A,22-Apr-13,-7.8,COMPUTED,8.7,COMPUTED,1.2,AGGREGATED,,UNAVAILBLE,,UNAVAILBLE,11.2,COMPUTED,0,COMPUTED
Calgary Intl A,23-Apr-13,-3.6,COMPUTED,7.6,COMPUTED,3,AGGREGATED,,UNAVAILBLE,,UNAVAILBLE,11.8,COMPUTED,0,COMPUTED
Calgary Intl A,24-Apr-13,-3,COMPUTED,13.4,COMPUTED,6.6,AGGREGATED,,UNAVAILBLE,,UNAVAILBLE,11.9,COMPUTED,0,COMPUTED
Calgary Intl A,25-Apr-13,3.9,COMPUTED,16.8,COMPUTED,11.1,AGGREGATED,,UNAVAILBLE,,UNAVAILBLE,12.1,COMPUTED,0,COMPUTED
Calgary Intl A,26-Apr-13,9.4,COMPUTED,20.4,COMPUTED,14.5,AGGREGATED,,UNAVAILBLE,,UNAVAILBLE,12,COMPUTED,0,COMPUTED
Calgary Intl A,27-Apr-13,4,COMPUTED,17.3,COMPUTED,12.7,AGGREGATED,,UNAVAILBLE,,UNAVAILBLE,11.1,COMPUTED,0,COMPUTED
Calgary Intl A,28-Apr-13,2.4,COMPUTED,15.8,COMPUTED,7.8,AGGREGATED,,UNAVAILBLE,,UNAVAILBLE,11.6,COMPUTED,0,COMPUTED
Calgary Intl A,29-Apr-13,-2.2,COMPUTED,5.2,COMPUTED,1.4,AGGREGATED,,UNAVAILBLE,,UNAVAILBLE,11.8,COMPUTED,0,COMPUTED
Calgary Intl A,30-Apr-13,-6.6,COMPUTED,2.8,COMPUTED,-1.5,AGGREGATED,,UNAVAILBLE,,UNAVAILBLE,12.2,COMPUTED,0,COMPUTED
Calgary Intl A,01-May-13,-8.5,COMPUTED,10.5,COMPUTED,2.2,AGGREGATED,,UNAVAILBLE,,UNAVAILBLE,11.4,COMPUTED,0,COMPUTED
Calgary Intl A,02-May-13,1,COMPUTED,18.4,COMPUTED,11,AGGREGATED,,UNAVAILBLE,,UNAVAILBLE,10.6,COMPUTED,0,COMPUTED
